EntrezID	EnsemblTranscriptID	GeneSymbols
181792	2L52.1	2L52.1
3565514	AC3.10	spe-10
174504	AH6.5	mex-6
173147	B0019.2	CELE_B0019.2|B0019.2
178042	B0035.1	B0035.1
175030	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
175031	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
177628	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
180074	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
181821	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
184113	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
184200	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
184804	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
186250	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
186325	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
191668	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
191672	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
191673	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
246024	B0035.10	his-49|his-63|his-32|his-59|his-45|his-25|his-42|his-27|his-2|his-17|his-6|his-13|his-9|his-55
